n;fi;rc;ry;x
1;0,31;0,02;0,99;0,97
2;0,63;0,03;0,98;0,88
3;0,94;0,05;0,97;0,73
4;1,26;0,06;0,96;0,54
5;1,57;0,08;0,95;0,32
6;1,88;0,09;0,94;0,07
7;2,20;0,11;0,93;-0,18
8;2,51;0,12;0,92;-0,42
9;2,83;0,14;0,91;-0,63
10;3,14;0,15;0,90;-0,80
11;3,46;0,17;0,89;-0,92
12;3,77;0,18;0,88;-0,99
13;4,08;0,20;0,87;-0,99
14;4,40;0,21;0,86;-0,94
15;4,71;0,23;0,85;-0,82
16;5,03;0,24;0,84;-0,65
17;5,34;0,26;0,83;-0,45
18;5,65;0,27;0,82;-0,21
19;5,97;0,29;0,81;0,04
20;6,28;0,30;0,80;0,28
21;6,60;0,32;0,79;0,51
22;6,91;0,33;0,78;0,71
23;7,23;0,35;0,77;0,86
24;7,54;0,36;0,76;0,96
25;7,85;0,38;0,75;1,00
26;8,17;0,39;0,74;0,98
27;8,48;0,41;0,73;0,89
28;8,80;0,42;0,72;0,75
29;9,11;0,44;0,71;0,57
30;9,42;0,45;0,70;0,35
31;9,74;0,47;0,69;0,10
32;10,05;0,48;0,68;-0,15
33;10,37;0,50;0,67;-0,39
34;10,68;0,51;0,66;-0,60
35;11,00;0,53;0,65;-0,78
36;11,31;0,54;0,64;-0,91
37;11,62;0,56;0,63;-0,98
38;11,94;0,57;0,62;-1,00
39;12,25;0,59;0,61;-0,95
40;12,57;0,60;0,60;-0,84
41;12,88;0,62;0,59;-0,68
42;13,19;0,63;0,58;-0,48
43;13,51;0,65;0,57;-0,24
44;13,82;0,66;0,56;0,00
45;14,14;0,68;0,55;0,25
46;14,45;0,69;0,54;0,48
47;14,77;0,71;0,53;0,68
48;15,08;0,72;0,52;0,84
49;15,39;0,74;0,51;0,95
50;15,71;0,75;0,50;1,00
51;16,02;0,77;0,49;0,98
52;16,34;0,78;0,48;0,91
53;16,65;0,80;0,47;0,78
54;16,96;0,81;0,46;0,59
55;17,28;0,83;0,45;0,38
56;17,59;0,84;0,44;0,14
57;17,91;0,86;0,43;-0,11
58;18,22;0,87;0,42;-0,35
59;18,54;0,89;0,41;-0,58
60;18,85;0,90;0,40;-0,76
